"day","sex","encounter_time"
0,"F",237
0,"F",307
0,"F",1501
0,"F",1501
0,"F",41
0,"F",876
0,"F",1501
0,"F",1501
0,"F",1177
0,"F",115
0,"F",1501
0,"F",103
0,"F",193
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",405
0,"F",1193
0,"F",906
0,"F",1501
0,"F",464
0,"F",1501
0,"F",1501
0,"F",190
0,"F",153
0,"F",1501
0,"F",1232
0,"F",441
0,"F",976
0,"F",1501
0,"F",526
0,"F",205
0,"F",1501
0,"F",1501
0,"F",917
0,"F",372
0,"F",1501
0,"F",1130
0,"F",30
0,"F",1501
0,"F",175
0,"F",651
0,"F",554
0,"F",128
0,"F",1501
0,"F",166
0,"F",1501
0,"F",1194
0,"F",418
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1106
0,"F",190
0,"F",300
0,"F",50
0,"F",653
0,"F",690
0,"F",559
0,"F",409
0,"F",588
0,"F",51
0,"F",71
0,"F",508
0,"F",1501
0,"F",560
0,"F",1501
0,"F",106
0,"F",1501
0,"F",1501
0,"F",581
0,"F",173
0,"F",198
0,"F",1501
0,"F",168
0,"F",1440
0,"F",1501
0,"F",11
0,"F",595
0,"F",990
0,"F",255
0,"F",1501
0,"F",376
0,"F",1501
0,"F",426
0,"F",969
0,"F",268
0,"F",616
0,"F",1501
0,"F",151
0,"F",1501
0,"F",1501
0,"F",1049
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",279
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",415
0,"F",767
0,"F",886
0,"F",1501
0,"F",63
0,"F",1501
0,"F",160
0,"F",441
0,"F",1501
0,"F",97
0,"F",1501
0,"F",1044
0,"F",1501
0,"F",260
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",91
0,"F",283
0,"F",168
0,"F",33
0,"F",923
0,"F",763
0,"F",1501
0,"F",357
0,"F",852
0,"F",1501
0,"F",1470
0,"F",1501
0,"F",1109
0,"F",56
0,"F",1501
0,"F",417
0,"F",1424
0,"F",1501
0,"F",103
0,"F",732
0,"F",1501
0,"F",1284
0,"F",1501
0,"F",672
0,"F",167
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",396
0,"F",1287
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",671
0,"F",1501
0,"F",404
0,"F",42
0,"F",1052
0,"F",1083
0,"F",1501
0,"F",1501
0,"F",422
0,"F",1501
0,"F",594
0,"F",784
0,"F",925
0,"F",1098
0,"F",434
0,"F",164
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",945
0,"F",1501
0,"F",67
0,"F",1232
0,"F",324
0,"F",1501
0,"F",520
0,"F",1501
0,"F",442
0,"F",113
0,"F",812
0,"F",96
0,"F",1425
0,"F",773
0,"F",298
0,"F",717
0,"F",394
0,"F",1297
0,"F",635
0,"F",1425
0,"F",93
0,"F",1501
0,"F",893
0,"F",1501
0,"F",1293
0,"F",648
0,"F",682
0,"F",1501
0,"F",1501
0,"F",669
0,"F",436
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1427
0,"F",1023
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1501
0,"F",1366
0,"F",1501
0,"F",1501
0,"F",1247
0,"F",1057
0,"F",63
0,"F",498
0,"F",1386
