comb,day,minute,solo,solomale,solofemale,tandem2,heterotandem,maletandem,femaletandem,tandem3,tandem4,tandem,nestmate,non-nestmate
T4,0,5,64,31,33,3,1,2,0,0,0,3,1,0
T4,0,10,54,21,33,6,5,1,0,1,0,7,4,1
T4,0,15,47,21,26,12,11,1,0,1,2,15,3,8
T4,0,20,42,14,28,8,7,1,0,1,0,9,3,4
T4,0,25,40,19,21,7,7,0,0,1,0,8,4,3
T4,0,30,32,18,14,12,10,2,0,0,0,12,8,2
T4,3,5,27,8,19,20,19,1,0,3,0,23,3,16
T4,3,10,32,5,27,16,16,0,0,3,0,19,11,5
T4,3,15,40,7,33,16,15,1,0,2,0,18,6,9
T4,3,20,34,12,20,20,20,0,0,1,0,21,8,12
T4,3,25,22,6,15,19,19,0,0,0,0,19,11,8
T4,3,30,48,21,27,19,19,0,0,2,0,21,11,8
T5,0,5,88,50,38,1,0,1,0,0,0,1,0,0
T5,0,10,92,49,42,1,1,0,0,0,0,1,0,1
T5,0,15,93,46,47,1,1,0,0,0,0,1,0,1
T5,0,20,98,47,51,3,3,0,0,0,0,3,2,1
T5,0,25,108,54,54,3,2,1,0,0,0,3,1,1
T5,0,30,100,42,58,9,5,4,0,1,0,10,4,1
T5,3,5,40,14,26,23,23,0,0,3,0,26,12,11
T5,3,10,54,18,36,16,16,0,0,2,0,18,4,12
T5,3,15,61,11,50,22,20,1,1,5,0,27,13,7
T5,3,20,62,18,44,11,10,1,0,0,2,13,7,3
T5,3,25,37,10,27,13,13,0,0,2,1,16,9,4
T5,3,30,46,9,37,19,19,0,0,3,0,22,10,9
T6,0,5,107,42,65,5,3,2,0,0,0,5,1,2
T6,0,10,114,35,79,12,10,2,0,0,0,12,4,6
T6,0,15,107,38,69,10,9,1,0,1,0,11,2,7
T6,0,20,101,41,59,15,15,0,0,1,0,16,4,11
T6,0,25,87,38,49,13,11,1,1,0,0,13,3,8
T6,0,30,93,37,56,12,10,2,0,2,0,14,5,5
T6,3,5,32,10,22,14,14,0,0,3,0,17,5,9
T6,3,10,39,14,25,19,19,0,0,3,0,22,8,11
T6,3,15,50,14,36,13,12,1,0,3,0,16,6,6
T6,3,20,37,12,25,14,13,1,0,2,0,16,7,6
T6,3,25,28,4,24,18,17,1,0,1,0,19,10,7
T6,3,30,32,15,17,16,14,2,0,2,0,18,11,3
T7,0,5,78,34,44,2,2,0,0,0,0,2,1,1
T7,0,10,94,42,52,4,3,1,0,1,0,5,2,1
T7,0,15,77,35,42,9,6,3,0,1,0,10,3,3
T7,0,20,67,35,32,4,4,0,0,0,0,4,1,3
T7,0,25,81,39,42,8,7,1,0,2,0,10,2,5
T7,0,30,68,34,34,11,11,0,0,1,0,12,5,6
T7,3,5,70,33,37,10,8,2,0,1,0,11,1,7
T7,3,10,58,24,34,16,13,3,0,2,0,18,3,10
T7,3,15,71,27,44,10,9,1,0,1,0,11,6,3
T7,3,20,86,25,61,17,16,1,0,4,0,21,13,3
T7,3,25,67,20,47,17,17,0,0,1,0,18,6,11
T7,3,30,38,4,34,10,9,1,0,0,0,10,4,5
T8,0,5,76,35,41,1,1,0,0,0,0,1,0,1
T8,0,10,82,36,46,3,2,1,0,0,0,3,2,0
T8,0,15,112,42,70,5,3,2,0,0,0,5,1,2
T8,0,20,115,52,63,6,6,0,0,0,0,6,4,2
T8,0,25,86,39,47,3,2,1,0,0,0,3,1,1
T8,0,30,83,44,39,5,5,0,0,0,0,5,4,1
T8,3,5,41,21,20,10,9,1,0,0,0,10,3,6
T8,3,10,37,15,22,15,13,2,0,6,0,21,6,7
T8,3,15,45,13,32,17,14,1,2,4,0,21,3,11
T8,3,20,24,7,17,19,17,2,0,2,0,21,13,4
T8,3,25,53,22,31,14,13,1,0,2,0,16,8,5
T8,3,30,37,12,25,21,20,1,0,2,0,23,11,9
T9,0,5,115,63,52,0,0,0,0,0,0,0,0,0
T9,0,10,122,64,57,0,0,0,0,0,0,0,0,0
T9,0,15,102,50,52,0,0,0,0,0,0,0,0,0
T9,0,20,103,51,52,0,0,0,0,0,0,0,0,0
T9,0,25,72,32,40,5,1,4,0,0,0,5,0,1
T9,0,30,67,32,35,4,2,2,0,0,0,4,1,1
T9,3,5,42,17,25,16,13,1,2,2,0,18,6,7
T9,3,10,41,12,29,22,22,0,0,3,0,25,8,14
T9,3,15,46,14,32,17,16,0,1,0,0,17,9,7
T9,3,20,39,9,30,21,19,2,0,3,0,24,6,13
T9,3,25,40,14,26,20,19,1,0,3,0,23,5,14
T9,3,30,40,15,25,20,19,1,0,0,0,20,5,14
