"name" "colony" "sex" "rep" "steps" "Min.step" "Max.step" "judgement" "TP.Xmin" "TP.Xmax" "TP.exponent" "TP.fitted.steps" "TP.fit" "TP.OOM" "Exp.Xmin" "Exp.exponent" "Exp.fitted.steps" "Exp.fit" "Exp.OOM" "EXP.AICw" "EXP.comp.AICw" "TP.AICw" "TP.comp.AICw"
"1" "Rs_098_F1_1" "Rs_098" "F" "1" "141" "0.023725" "277.2978" "Mixed" "1.874275" "85.9794" "0.99" "102" "0.045773282113508" "1.66156109771433" "4.104425" "0.0232958035309583" "96" "0.186540137479247" "1.82969409979744" "5.45566569041363e-09" "0.999999994544334" "0.999999994544334" "5.45566569041363e-09"
"2" "Rs_098_F1_2" "Rs_098" "F" "1" "132" "0.023725" "211.10505" "TP" "1.56585" "83.27475" "1.11" "104" "0.0465983182541664" "1.72576318092396" "0.545675" "0.0500706343657295" "117" "0.212047099657966" "2.58756456539443" "0.0272496899762422" "0.972750310023758" "0.972750310023758" "0.0272496899762422"
"3" "Rs_098_F1_3" "Rs_098" "F" "1" "111" "0.023725" "354.49895" "TP" "6.5481" "144.58015" "1.31" "56" "0.0468321231389888" "1.34399336782144" "3.1317" "0.0222615527842287" "68" "0.235740340877826" "2.05383480086727" "7.90914258418486e-07" "0.999999209085741" "0.999999209085741" "7.90914258418486e-07"
"4" "Rs_098_F1_4" "Rs_098" "F" "1" "176" "0.023725" "199.9543" "Mixed" "2.206425" "43.630275" "0.98" "121" "0.039467564432646" "1.29609878068414" "0.99645" "0.0525475719737525" "146" "0.142673087494106" "2.30247523653816" "0.999694558702823" "0.000305441297176895" "0.000305441297176895" "0.999694558702823"
"5" "Rs_098_F2_1" "Rs_098" "F" "2" "163" "0.023725" "399.030775" "Mixed" "0.308425" "134.117425" "0.87" "141" "0.040376233778148" "2.63833563315328" "7.331025" "0.0181771420581389" "92" "0.12279232192459" "1.73584169114571" "0.999842271279527" "0.000157728720473377" "0.000157728720473377" "0.999842271279527"
"6" "Rs_098_F2_2" "Rs_098" "F" "2" "197" "0.023725" "112.954725" "Mixed" "0.0949" "57.1298" "0.56" "176" "0.0242259636846575" "2.77959649125782" "2.2776" "0.0370226688051547" "164" "0.0581622438371008" "1.69542694843494" "0.626045537172891" "0.373954462827109" "0.373954462827109" "0.626045537172891"
"7" "Rs_098_F2_3" "Rs_098" "F" "2" "191" "0.023725" "153.334675" "TP" "9.91705" "49.134475" "1.04" "113" "0.0375793874924966" "0.695003817118418" "0.04745" "0.0454455129129367" "189" "0.0441281224977532" "3.50940416025869" "1" "2.6134832710209e-42" "2.6134832710209e-42" "1"
"8" "Rs_098_F2_4" "Rs_098" "F" "2" "178" "0.023725" "201.448975" "TP" "24.175775" "126.217" "2.31" "70" "0.0679184750911454" "0.717737448288622" "0.14235" "0.0404165423001627" "176" "0.0706267380919229" "3.15080759049719" "1" "4.10238194855005e-43" "4.10238194855005e-43" "1"
"9" "Rs_098_F3_1" "Rs_098" "F" "3" "229" "0.023725" "142.2551" "TP" "5.954975" "92.8122" "1.07" "174" "0.0434285848122875" "1.19272512463453" "0.04745" "0.040245894471955" "228" "0.0666993343528541" "3.47683162851226" "1" "6.79049930527741e-35" "6.79049930527741e-35" "1"
"10" "Rs_098_F3_2" "Rs_098" "F" "3" "175" "0.04745" "355.851275" "TP" "13.1911" "132.71765" "1.52" "105" "0.0473075469573415" "1.00264767045345" "0.925275" "0.0305687185023514" "165" "0.0880914724141736" "2.58499769809858" "1" "1.24264581170598e-22" "1.24264581170598e-22" "1"
"11" "Rs_098_F3_3" "Rs_098" "F" "3" "145" "0.023725" "121.590625" "TP" "9.72725" "121.590625" "1.63" "81" "0.0613789512892516" "1.09691001300806" "0.260975" "0.0482108915653669" "134" "0.100800937420348" "2.66830118456957" "0.990732385224107" "0.0092676147758935" "0.0092676147758935" "0.990732385224107"
"12" "Rs_098_F3_4" "Rs_098" "F" "3" "162" "0.023725" "86.59625" "TP" "8.20885" "84.389825" "1.59" "77" "0.0609207051605922" "1.012007766393" "0.61685" "0.0621762365375072" "138" "0.108351065904047" "2.14731951648566" "0.99792416163122" "0.00207583836878015" "0.00207583836878015" "0.99792416163122"
"13" "Rs_098_M1_1" "Rs_098" "M" "1" "166" "0.023725" "244.296325" "TP" "15.255175" "191.27095" "1.45" "90" "0.0440659363064495" "1.09823182089281" "1.352325" "0.0274811799989762" "148" "0.108912904924783" "2.2568358570693" "0.895892093674656" "0.104107906325344" "0.104107906325344" "0.895892093674656"
"14" "Rs_098_M1_2" "Rs_098" "M" "1" "122" "0.071175" "557.58495" "TP" "1.447225" "333.14645" "1.2" "106" "0.0622169040626941" "2.36209913368789" "10.510175" "0.0139079643165678" "54" "0.139451560885072" "1.72470109570844" "0.771778066498152" "0.228221933501848" "0.228221933501848" "0.771778066498152"
"15" "Rs_098_M1_3" "Rs_098" "M" "1" "152" "0.023725" "110.250075" "Mixed" "2.23015" "42.491475" "0.79" "103" "0.0387333049856515" "1.27996773224933" "2.443675" "0.0494557507517892" "115" "0.0662755692049629" "1.6543354477737" "0.999983705016451" "1.62949835487357e-05" "1.62949835487357e-05" "0.999983705016451"
"16" "Rs_098_M1_4" "Rs_098" "M" "1" "129" "0.023725" "44.721625" "Mixed" "0.260975" "22.230325" "0.64" "105" "0.0321921680815889" "1.93034690572955" "1.115075" "0.10826772834522" "97" "0.05860179843594" "1.60321349660609" "0.999915176020444" "8.48239795564335e-05" "8.48239795564335e-05" "0.999915176020444"
"17" "Rs_098_M2_1" "Rs_098" "M" "2" "155" "0.023725" "158.483" "TP" "20.07135" "115.517025" "1.38" "76" "0.0546242780929552" "0.760069411506871" "2.064075" "0.0319834599821235" "133" "0.0721221034693591" "1.88525720985693" "0.999999981388591" "1.86114091481979e-08" "1.86114091481979e-08" "0.999999981388591"
