-1.#IND,1.#QNAN,-2147483648,0,0,0.018,10.1637,0.0101637,
-65.9244,96.5294,116,0,0,0.048,30.4677,0.0304677,
-67.1991,99.6234,120,37,-69,0.081,51.9516,0.0519516,
-69.3859,103.025,124,98,-147,0.112,74.1839,0.0741839,
-69.2203,103.479,124,150,-196,0.143,96.2447,0.0962447,
-62.1327,94.6637,113,218,-246,0.174,117.98,0.11798,
-52.8612,84.8804,99,486,-403,0.214,148.374,0.148374,
-39.6057,76.4857,86,611,-461,0.243,174.326,0.174326,
-21.3793,68.3678,71,768,-534,0.275,201.979,0.201979,
6.52427,52.5631,52,879,-635,0.321,244.648,0.244648,
30.1879,39.7879,49,902,-711,0.354,273.575,0.273575,
43.2857,27.3143,51,881,-764,0.386,302.456,0.302456,
45.3077,15.6154,47,814,-789,0.431,330.332,0.330332,
-1.#IND,1.#QNAN,-2147483648,731,-802,0.463,358.317,0.358317,
-1.#IND,1.#QNAN,-2147483648,698,-806,0.493,386.592,0.386592,
-6.625,-3.375,7,698,-806,0.523,414.019,0.414019,
-28.0536,-3.57738,28,699,-806,0.555,442.005,0.442005,
-34.5459,-2.35749,34,726,-806,0.587,469.963,0.469963,
-37.6209,-1.77251,37,753,-806,0.618,496.738,0.496738,
-39.8537,0.907317,39,854,-811,0.66,535.316,0.535316,
-40.8223,3.65482,40,913,-811,0.693,561.148,0.561148,
-36.5092,7.0184,37,960,-811,0.727,589.146,0.589146,
-28.2391,9.3913,29,1006,-816,0.758,617.265,0.617265,
-23.5691,10.9724,25,1043,-822,0.788,643.778,0.643778,
-18.1097,13.9871,22,1069,-834,0.822,672.489,0.672489,
-14.5076,16.6599,22,1093,-846,0.855,701.235,0.701235,
-14.0991,16.9811,22,1109,-864,0.893,723.412,0.723412,
-14.0402,17.8342,22,1126,-886,0.924,746.616,0.746616,
-15.2917,17.1875,23,1141,-905,0.958,772.163,0.772163,
-18.898,15.699,24,1157,-924,0.99,798.321,0.798321,
-22.5225,15.1461,27,1185,-962,1.027,830.991,0.830991,
-21.9381,12.2887,25,1201,-975,1.063,852.494,0.852494,
-17.8807,7.45455,19,1233,-987,1.096,876.186,0.876186,
-14.7919,3.24855,15,1246,-997,1.127,898.542,0.898542,
-8.89595,0.421965,8,1282,-1016,1.16,922.551,0.922551,
-5.65882,-0.935294,5,1292,-1020,1.19,946.591,0.946591,
-3.85093,-1.54658,4,1296,-1023,1.222,970.783,0.970783,
-2.8655,-1.45614,3,1297,-1023,1.254,996.329,0.996329,
-3.00585,-0.432749,3,1301,-1023,1.288,1023.22,1.02322,
-4.29189,0.52973,4,1301,-1023,1.328,1059.48,1.05948,
-8.62941,2.3,8,1302,-1023,1.36,1080.57,1.08057,
-10.454,4.91411,11,1305,-1023,1.39,1101.8,1.1018,
-9.74194,4.24194,10,1310,-1024,1.422,1123.61,1.12361,
-11.3053,3.71579,11,1313,-1024,1.455,1147.01,1.14701,
-13.6809,4.94149,14,1325,-1028,1.489,1173.35,1.17335,
