colony,sex,day,rep,fresh
H,M,0day,1,2.4
H,M,0day,2,2.41
H,M,0day,3,2.48
H,M,0day,4,2.51
H,M,0day,5,2.44
H,M,0day,6,2.36
H,M,0day,7,2.33
H,M,0day,8,2.38
H,F,0day,1,2.81
H,F,0day,2,2.82
H,F,0day,3,2.59
H,F,0day,4,2.72
H,F,0day,5,2.77
H,F,0day,6,2.76
H,F,0day,7,2.54
H,F,0day,8,2.71
I,M,0day,1,2.38
I,M,0day,2,2.49
I,M,0day,3,2.43
I,M,0day,4,2.49
I,M,0day,5,2.61
I,M,0day,6,2.53
I,M,0day,7,2.43
I,M,0day,8,2.42
I,F,0day,1,2.63
I,F,0day,2,2.85
I,F,0day,3,2.81
I,F,0day,4,2.82
I,F,0day,5,2.74
I,F,0day,6,2.91
I,F,0day,7,2.67
I,F,0day,8,2.93
J,M,0day,1,2.22
J,M,0day,2,2.3
J,M,0day,3,2.26
J,M,0day,4,2.35
J,M,0day,5,2.19
J,M,0day,6,2.33
J,M,0day,7,2.11
J,M,0day,8,1.91
J,F,0day,1,2.65
J,F,0day,2,2.71
J,F,0day,3,2.68
J,F,0day,4,2.63
J,F,0day,5,2.62
J,F,0day,6,2.67
J,F,0day,7,2.96
J,F,0day,8,2.66
H,M,3day,1,2.75
H,M,3day,2,2.71
H,M,3day,3,2.43
H,M,3day,4,2.92
H,M,3day,5,2.57
H,M,3day,6,2.75
H,M,3day,7,2.5
H,M,3day,8,2.44
H,F,3day,1,3.17
H,F,3day,2,2.83
H,F,3day,3,2.76
H,F,3day,4,2.88
H,F,3day,5,2.75
H,F,3day,6,2.86
H,F,3day,7,2.79
H,F,3day,8,2.76
I,M,3day,1,2.74
I,M,3day,2,2.55
I,M,3day,3,2.94
I,M,3day,4,2.5
I,M,3day,5,2.87
I,M,3day,6,2.82
I,M,3day,7,2.92
I,M,3day,8,2.77
I,F,3day,1,3.45
I,F,3day,2,2.98
I,F,3day,3,3.12
I,F,3day,4,3.1
I,F,3day,5,3.03
I,F,3day,6,3.39
I,F,3day,7,3.03
I,F,3day,8,3.02
J,M,3day,1,2.4
J,M,3day,2,2.27
J,M,3day,3,2.55
J,M,3day,4,2.39
J,M,3day,5,2.57
J,M,3day,6,2.22
J,M,3day,7,2.37
J,M,3day,8,2.42
J,F,3day,1,2.73
J,F,3day,2,2.66
J,F,3day,3,2.94
J,F,3day,4,3.09
J,F,3day,5,2.87
J,F,3day,6,3.04
J,F,3day,7,2.85
J,F,3day,8,2.97
